Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Adhesive type (product.metafields.shopify.adhesive-type),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Drinkware material (product.metafields.shopify.drinkware-material),Embellishment/Trim material (product.metafields.shopify.embellishment-trim-material),Fabric (product.metafields.shopify.fabric),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,purple,,,S,,,adults,,5161471_19916,153.087424875,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-maroon-back-699a230467667.jpg?v=1771709208,7,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-purple-back-699a230466b4b.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,purple,,,M,,,adults,,5161471_19933,167.2621864375,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-light-pink-back-699a23045c7b3.jpg?v=1771709208,8,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-purple-back-699a230466b4b.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,purple,,,L,,,adults,,5161471_19950,206.9515188125,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-orange-back-699a23046b3f4.jpg?v=1771709207,9,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-purple-back-699a230466b4b.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,purple,,,XL,,,adults,,5161471_19967,221.126280375,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-purple-back-699a230466b4b.jpg?v=1771709208,10,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-purple-back-699a230466b4b.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,purple,,,2XL,,,adults,,5161471_19984,266.485517375,shopify,deny,manual,21.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-royal-back-699a230469b14.jpg?v=1771709208,11,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-purple-back-699a230466b4b.jpg?v=1771709208,oz,PC040100,15.75,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,purple,,,3XL,,,adults,,5161471_20001,269.3204696875,shopify,deny,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-white-back-699a230473935.jpg?v=1771709208,12,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-purple-back-699a230466b4b.jpg?v=1771709208,oz,PC040100,18.75,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,maroon,,,S,,,adults,,5161471_19911,153.087424875,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-white-back-699a230460462.jpg?v=1771709207,13,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-maroon-back-699a230467667.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,maroon,,,M,,,adults,,5161471_19928,167.2621864375,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-royal-back-699a23046281f.jpg?v=1771709208,14,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-maroon-back-699a230467667.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,maroon,,,L,,,adults,,5161471_19945,206.9515188125,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-lime-back-699a23046398b.jpg?v=1771709208,15,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-maroon-back-699a230467667.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,maroon,,,XL,,,adults,,5161471_19962,221.126280375,shopify,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-maroon-back-699a230467667.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,maroon,,,2XL,,,adults,,5161471_19979,266.485517375,shopify,deny,manual,21.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-maroon-back-699a230467667.jpg?v=1771709208,oz,PC040100,15.75,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,maroon,,,3XL,,,adults,,5161471_19996,269.3204696875,shopify,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-maroon-back-699a230467667.jpg?v=1771709208,oz,PC040100,18.75,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,forest-green,,,S,,,adults,,5161471_19907,153.087424875,shopify,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-forest-green-back-699a230468643.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,forest-green,,,M,,,adults,,5161471_19924,167.2621864375,shopify,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-forest-green-back-699a230468643.jpg?v=1771709208,oz,PC040100,12.95,
